pass,metric,mean,p50,p95,p99,max,total,positivePixels
probe,orbitSteps,52.73128580729167,64.0,83.0,117.0,800.0,9.7194306E7,1843200
probe,chords,52.73128580729167,64.0,83.0,117.0,800.0,9.7194306E7,1843200
probe,terrainNodes,243.08972927517362,182.0,558.0,835.0,1398.0,4.48062989E8,1843200
probe,movingNodes,38.778154296875,38.0,84.0,110.0,182.0,7.1475894E7,1843200
probe,terrainTriangles,4.546859809027778,0.0,16.0,32.0,146.0,8380772.0,752465
probe,movingPrimitives,33.738355034722225,29.0,108.0,129.0,252.0,6.2186536E7,929847
probe,terrainCandidates,0.4411344401041667,0.0,1.0,2.0,13.0,813099.0,750910
probe,movingCandidates,1.0593381076388888,1.0,3.0,5.0,12.0,1952572.0,929320
probe,terrainReuse,44.19658962673611,52.0,76.0,104.0,772.0,8.1463154E7,1831921
probe,movingReuse,48.71997884114583,59.0,79.0,112.0,795.0,8.9800665E7,1843200
probe,terrainLeaves,0.6597786458333333,0.0,3.0,5.0,26.0,1216104.0,752465
probe,movingLeaves,5.402490234375,4.0,17.0,21.0,38.0,9957870.0,929847
probe,transparentContinuations,0.0,0.0,0.0,0.0,0.0,0.0,0
probe,probePending,4.0093315972222223E-4,0.0,0.0,0.0,1.0,739.0,739
probe,rays,1.0,1.0,1.0,1.0,1.0,1843200.0,1843200
probe,exhausted,5.425347222222222E-7,0.0,0.0,0.0,1.0,1.0,1
probe,cloudPrimitives,33.698901909722224,29.0,108.0,129.0,252.0,6.2113816E7,928050
probe,actorTriangles,0.039453125,0.0,0.0,0.0,148.0,72720.0,2378
probe,cloudCandidates,1.0574229600694445,1.0,3.0,5.0,5.0,1949042.0,928045
probe,actorCandidates,0.0019151475694444444,0.0,0.0,0.0,11.0,3530.0,1519
mask,orbitSteps,0.013681098090277777,0.0,0.0,0.0,40.0,25217.0,739
mask,chords,0.014475911458333334,0.0,0.0,0.0,44.0,26682.0,739
mask,terrainNodes,0.264306640625,0.0,0.0,0.0,1503.0,487170.0,739
mask,movingNodes,0.028333333333333332,0.0,0.0,0.0,138.0,52224.0,739
mask,terrainTriangles,0.03637261284722222,0.0,0.0,0.0,384.0,67042.0,739
mask,movingPrimitives,0.02776095920138889,0.0,0.0,0.0,168.0,51169.0,739
mask,terrainCandidates,0.0022591145833333335,0.0,0.0,0.0,25.0,4164.0,739
mask,movingCandidates,7.682291666666666E-4,0.0,0.0,0.0,5.0,1416.0,739
mask,terrainReuse,0.00940700954861111,0.0,0.0,0.0,27.0,17339.0,739
mask,movingReuse,0.012188042534722223,0.0,0.0,0.0,39.0,22465.0,739
mask,terrainLeaves,0.005738932291666667,0.0,0.0,0.0,59.0,10578.0,739
mask,movingLeaves,0.004606119791666667,0.0,0.0,0.0,28.0,8490.0,739
mask,transparentContinuations,7.948133680555556E-4,0.0,0.0,0.0,5.0,1465.0,739
mask,probePending,1.8446180555555556E-5,0.0,0.0,0.0,1.0,34.0,34
mask,rays,4.0093315972222223E-4,0.0,0.0,0.0,1.0,739.0,739
mask,exhausted,0.0,0.0,0.0,0.0,0.0,0.0,0
mask,cloudPrimitives,0.02776095920138889,0.0,0.0,0.0,168.0,51169.0,739
mask,actorTriangles,0.0,0.0,0.0,0.0,0.0,0.0,0
mask,cloudCandidates,7.682291666666666E-4,0.0,0.0,0.0,5.0,1416.0,739
mask,actorCandidates,0.0,0.0,0.0,0.0,0.0,0.0,0
full,orbitSteps,52.731336263020836,64.0,83.0,117.0,800.0,9.7194399E7,1843200
full,chords,52.855807291666665,64.0,83.0,117.0,800.0,9.7423824E7,1843200
full,terrainNodes,244.5083203125,182.0,570.0,842.0,1503.0,4.50677736E8,1843200
full,movingNodes,38.83547037760417,38.0,86.0,110.0,195.0,7.1581539E7,1843200
full,terrainTriangles,4.634889322916667,0.0,18.0,32.0,384.0,8543028.0,752465
full,movingPrimitives,33.462435438368054,29.0,108.0,129.0,252.0,6.1677961E7,929847
full,terrainCandidates,0.44819444444444445,0.0,1.0,2.0,25.0,826112.0,750910
full,movingCandidates,1.0009765625,1.0,3.0,5.0,19.0,1845000.0,929320
full,terrainReuse,44.29539605034722,52.0,76.0,104.0,772.0,8.1645274E7,1831921
full,movingReuse,48.82678982204861,59.0,79.0,112.0,795.0,8.9997539E7,1843200
full,terrainLeaves,0.6735530598958334,0.0,3.0,5.0,59.0,1241493.0,752465
full,movingLeaves,5.356545681423611,4.0,16.0,21.0,40.0,9873185.0,929847
full,transparentContinuations,0.12447102864583333,0.0,1.0,1.0,5.0,229425.0,228699
full,probePending,1.8446180555555556E-5,0.0,0.0,0.0,1.0,34.0,34
full,rays,1.0,1.0,1.0,1.0,1.0,1843200.0,1843200
full,exhausted,5.425347222222222E-7,0.0,0.0,0.0,1.0,1.0,1
full,cloudPrimitives,33.41897677951389,29.0,108.0,129.0,252.0,6.1597858E7,928050
full,actorTriangles,0.043458658854166665,0.0,0.0,0.0,148.0,80103.0,2378
full,cloudCandidates,0.9988210720486111,1.0,3.0,5.0,5.0,1841027.0,928045
full,actorCandidates,0.002155490451388889,0.0,0.0,0.0,16.0,3973.0,1519
